iter	Logloss
0	0.6868163618
1	0.6800330827
2	0.6737597843
3	0.6685478872
4	0.6634555286
5	0.6579549071
6	0.6525158437
7	0.6479010343
8	0.6431191744
9	0.639511412
10	0.6339792444
11	0.6311449719
12	0.6259306461
13	0.6203724222
14	0.6164605749
15	0.6110322229
16	0.6065500109
17	0.602176658
18	0.597752192
19	0.5930674131
20	0.5891572245
21	0.5844647652
22	0.5805978116
23	0.5764233972
24	0.5727415335
25	0.569603808
26	0.566103921
27	0.5630933433
28	0.5589724098
29	0.5571493316
30	0.5536642005
31	0.5516400563
32	0.5489814525
33	0.5453826518
34	0.5418402875
35	0.538044729
36	0.5359968102
37	0.5328235675
38	0.530731369
39	0.5273384312
40	0.524595596
41	0.5221296223
42	0.5192545946
43	0.5162524217
44	0.513276499
45	0.5104084064
46	0.5080489793
47	0.5051375023
48	0.5021918014
49	0.4992131825
50	0.4975408509
51	0.4947243129
52	0.4931361958
53	0.4905413732
54	0.4894722825
55	0.4873123715
56	0.4857466895
57	0.4838936603
58	0.4818745229
59	0.4803227327
60	0.4783383159
61	0.4762137705
62	0.474045757
63	0.4727966728
64	0.4709178427
65	0.4686626118
66	0.4674018141
67	0.4656454818
68	0.4637677664
69	0.461747364
70	0.4601142377
71	0.4584866045
72	0.4578316599
73	0.4561366632
74	0.4545567246
75	0.4529032763
76	0.4511959444
77	0.4506132769
78	0.4493579127
79	0.4478854414
80	0.4467252907
81	0.4457442849
82	0.4446135672
83	0.444341489
84	0.4438337035
85	0.4428225937
86	0.4419722302
87	0.440657148
88	0.4396675253
89	0.4388598255
90	0.4384159684
91	0.4370523463
92	0.4362973672
93	0.4351463416
94	0.4340136676
95	0.4326387187
96	0.4314494752
97	0.4301770738
98	0.4289439931
99	0.4285331775
100	0.4276793622
101	0.4264575685
102	0.4251029135
103	0.4242663785
104	0.423715673
105	0.4233987199
106	0.4227301458
107	0.4216601034
108	0.4205082153
109	0.4198963077
110	0.4192224426
111	0.4185717159
112	0.4179031607
113	0.4171305831
114	0.4163456828
115	0.4159947083
116	0.41516672
117	0.4143802588
118	0.4134023488
119	0.4123766523
120	0.4115315022
121	0.4109754498
122	0.4100003393
123	0.4090409038
124	0.4082716661
125	0.4079891926
126	0.4077123321
127	0.4075915004
128	0.4071317756
129	0.4065989765
130	0.4061951574
131	0.4054794823
132	0.4048370718
133	0.4039345087
134	0.4033691951
135	0.403020544
136	0.4023069765
137	0.4016152672
138	0.400890678
139	0.4002677751
140	0.399742764
141	0.3994985789
142	0.3989100205
143	0.3983439493
144	0.3976321078
145	0.3970000768
146	0.3964009783
147	0.3958140129
148	0.3953828808
149	0.3950597825
150	0.3945876908
151	0.3941453889
152	0.393847191
153	0.3934441766
154	0.3928540626
155	0.392202184
156	0.3915697924
157	0.3910335011
158	0.3906105519
159	0.3902542531
160	0.3897383525
161	0.3894820713
162	0.3893095599
163	0.3887813975
164	0.3882047885
165	0.3878917729
166	0.3874781528
167	0.3870052136
168	0.3865309475
169	0.3863260186
170	0.3860041302
171	0.3855817973
172	0.3851618205
173	0.3848272779
174	0.3845867811
175	0.3840458709
176	0.3836308625
177	0.3832276095
178	0.3827839853
179	0.3824247159
180	0.3821544406
181	0.3817053159
182	0.3813287852
183	0.380957437
184	0.380595117
185	0.3801745764
186	0.3799445945
187	0.3794684272
188	0.3789647077
189	0.3788629849
190	0.3784352255
191	0.3780183658
192	0.3778309043
193	0.3774681005
194	0.3771645705
195	0.3769676262
196	0.3765780647
197	0.3761228449
198	0.3757551968
199	0.3755747365
200	0.3752802191
201	0.3752655236
202	0.3747873208
203	0.3745456851
204	0.3741594447
205	0.3738395407
206	0.3733849025
207	0.3731211532
208	0.3729730177
209	0.3727024883
210	0.3725765696
211	0.3722361028
212	0.371891057
213	0.3714314155
214	0.3711648225
215	0.3707125841
216	0.3704868446
217	0.3701076401
218	0.3698474526
219	0.369550626
220	0.3694670505
221	0.3691056367
222	0.3687319145
223	0.3685038822
224	0.3683879611
225	0.3682996141
226	0.3677789994
227	0.3674461867
228	0.367307767
229	0.366890413
230	0.3665855105
231	0.3663622886
232	0.3661076237
233	0.3658077868
234	0.3655882495
235	0.3653549475
236	0.3651547981
237	0.3647617885
238	0.3644649517
239	0.364190288
240	0.3640050248
241	0.3634653796
242	0.3630654505
243	0.3628530551
244	0.3628129732
245	0.3626684983
246	0.362524712
247	0.3623836197
248	0.362172936
249	0.3619372255
250	0.3617651406
251	0.361717384
252	0.361314854
253	0.3610772476
254	0.3607921178
255	0.3606306417
256	0.360375443
257	0.3603292926
258	0.3601765627
259	0.359968422
260	0.3598794993
261	0.3597696543
262	0.3595569405
263	0.3592795672
264	0.3587949046
265	0.3585517638
266	0.3582728372
267	0.3580465414
268	0.3579385805
269	0.3576693339
270	0.3574603092
271	0.3572378212
272	0.3569882429
273	0.3566712555
274	0.3565401487
275	0.3563555637
276	0.3562069057
277	0.3560445754
278	0.3557585843
279	0.3556533968
280	0.3554837514
281	0.3552055276
282	0.3550132068
283	0.3547072056
284	0.3545134539
285	0.3543566157
286	0.354111194
287	0.3538904504
288	0.3536745739
289	0.3536638447
290	0.3536078926
291	0.3532597282
292	0.3532100669
293	0.3531219611
294	0.352895057
295	0.3526495757
296	0.3524696335
297	0.3522231641
298	0.3520821317
299	0.3518275264
300	0.3515473202
301	0.3514023782
302	0.3512864381
303	0.351188844
304	0.3509353792
305	0.3508371847
306	0.3506398082
307	0.3503553943
308	0.3501457253
309	0.3500299431
310	0.349946396
311	0.3496653975
312	0.3495237738
313	0.3493188814
314	0.3492249998
315	0.3491218947
316	0.3490780039
317	0.3490251444
318	0.3489708368
319	0.3488849653
320	0.3488013246
321	0.3486395174
322	0.3486083961
323	0.3483948345
324	0.3483103574
325	0.3483032859
326	0.3482207158
327	0.348061353
328	0.3479137681
329	0.3477265346
330	0.3475285319
331	0.3474016054
332	0.3472269042
333	0.3470372001
334	0.3469805253
335	0.3467911176
336	0.3466024232
337	0.3464151538
338	0.3463474787
339	0.3462545957
340	0.3460962038
341	0.3459636572
342	0.3458650138
343	0.3456569226
344	0.3454493767
345	0.3452564357
346	0.3449970775
347	0.3448775358
348	0.3447111591
349	0.3445560745
350	0.3443156852
351	0.3441647993
352	0.3440561479
353	0.3437720275
354	0.3436977107
355	0.3435626575
356	0.343484507
357	0.3433907237
358	0.3432960757
359	0.3432705084
360	0.3429370736
361	0.3427889008
362	0.3426523712
363	0.3424962608
364	0.3423941922
365	0.3423169739
366	0.3421464382
367	0.3419363596
368	0.3417566807
369	0.341569497
370	0.3414710692
371	0.3412294122
372	0.3411557156
373	0.3410548387
374	0.3409432704
375	0.340777447
376	0.3407080465
377	0.3405493272
378	0.3403471944
379	0.3403157892
380	0.3401752181
381	0.3399944393
382	0.3398953314
383	0.3397800712
384	0.3395491244
385	0.3395054387
386	0.3394306699
387	0.3392398893
388	0.3390058406
389	0.3389579203
390	0.3388748325
391	0.3386712664
392	0.3384332047
393	0.3384032812
394	0.338369494
395	0.3379611446
396	0.3377553653
397	0.3376570175
398	0.3375359929
399	0.3374832237
400	0.337322636
401	0.337304121
402	0.3371819662
403	0.3370235948
404	0.3369557865
405	0.3369441054
406	0.3368287456
407	0.3365706993
408	0.3365438214
409	0.3364220813
410	0.33631244
411	0.3361214283
412	0.335897492
413	0.335814384
414	0.3357041288
415	0.3356953766
416	0.3354829529
417	0.3353396584
418	0.335223647
419	0.3348760051
420	0.334757021
421	0.3346572359
422	0.3345678562
423	0.3343772971
424	0.3342130688
425	0.3341615806
426	0.3340500555
427	0.3340452928
428	0.3339814229
429	0.333911972
430	0.3338750022
431	0.33378069
432	0.3336576202
433	0.3335564855
434	0.3335067894
435	0.3334480908
436	0.3333673682
437	0.3331612588
438	0.3330050924
439	0.3328692904
440	0.3327548865
441	0.3326767743
442	0.3326041073
443	0.3324840603
444	0.3322717391
445	0.3321524292
446	0.3320319388
447	0.3318975856
448	0.3317942984
449	0.3317310879
450	0.3316483759
451	0.3315594471
452	0.3314006308
453	0.3313058227
454	0.3311689246
455	0.3311259628
456	0.3310949228
457	0.3309948472
458	0.3309125316
459	0.3307773485
460	0.3307169762
461	0.3306214676
462	0.3305127766
463	0.3304275656
464	0.3303363004
465	0.3301295794
466	0.3300186231
467	0.3299937269
468	0.3298611201
469	0.329730001
470	0.329698523
471	0.3295851505
472	0.3294991421
473	0.3294854774
474	0.3292093452
475	0.3291817628
476	0.3290374569
477	0.3290007534
478	0.3288477936
479	0.3287523248
480	0.3284012109
481	0.3283821042
482	0.3283187142
483	0.3281955456
484	0.3280202155
485	0.3280051082
486	0.3277987755
487	0.3276940231
488	0.3276240434
489	0.3274447855
490	0.3272610815
491	0.3272076011
492	0.3271614041
493	0.3270766197
494	0.3267698895
495	0.3266892233
496	0.3266188692
497	0.3265832725
498	0.3265561515
499	0.3264439461
500	0.3263027619
501	0.3262070368
502	0.3260854747
503	0.3259429718
504	0.3258365543
505	0.3257854068
506	0.3256694133
507	0.3255636177
508	0.325314518
509	0.3251153053
510	0.3248730729
511	0.324848182
512	0.324670013
513	0.3245169279
514	0.3243167358
515	0.3242920113
516	0.3242718281
517	0.324214445
518	0.3240923775
519	0.3240852952
520	0.3237478755
521	0.323747188
522	0.3236185291
523	0.3234883405
524	0.3234372688
525	0.3232936288
526	0.323246144
527	0.322971581
528	0.3229399787
529	0.3229024948
530	0.3227967869
531	0.3226859624
532	0.3224079398
533	0.3224031568
534	0.3223579367
535	0.3223178986
536	0.3222199137
537	0.3219367024
538	0.3218396009
539	0.3217797142
540	0.3217594597
541	0.321718034
542	0.3215245315
543	0.321494282
544	0.3213113392
545	0.3212879663
546	0.3212023258
547	0.3211438196
548	0.321121416
549	0.3210278547
550	0.3210219474
551	0.3209546186
552	0.3208384473
553	0.3207538178
554	0.3206516437
555	0.3204834079
556	0.3203365206
557	0.3202138839
558	0.3201375272
559	0.3200677173
560	0.3199803306
561	0.3198879134
562	0.3197244289
563	0.319565428
564	0.3194015321
565	0.3192818614
566	0.3192501494
567	0.3190125406
568	0.3189837786
569	0.3188949789
570	0.3188469844
571	0.3187739026
572	0.3187261451
573	0.3185981082
574	0.3183460143
575	0.3183455718
576	0.3182380867
577	0.3181404398
578	0.3180241987
579	0.317927599
580	0.3179189391
581	0.3176341813
582	0.3174962647
583	0.3173569583
584	0.3172925145
585	0.317278143
586	0.3171414498
587	0.3168966543
588	0.3168372633
589	0.3168206384
590	0.3166961798
591	0.3166775857
592	0.3166301279
593	0.3164739924
594	0.3163065924
595	0.3162609903
596	0.3162043462
597	0.3159509848
598	0.3158680921
599	0.3158056574
600	0.3156176702
601	0.3155416734
602	0.3155211499
603	0.3154026951
604	0.3153687765
605	0.3152231105
606	0.3151726296
607	0.3148847845
608	0.3148617245
609	0.3147485709
610	0.3146883603
611	0.3145484675
612	0.3143558171
613	0.3142853723
614	0.314221739
615	0.3141507097
616	0.3139934091
617	0.3138128699
618	0.3136247802
619	0.3136077969
620	0.3135835818
621	0.3134463999
622	0.3133968646
623	0.3133885838
624	0.3131228123
625	0.3129845318
626	0.3129341098
627	0.3128154184
628	0.3127400116
629	0.3126034704
630	0.312562602
631	0.3124610911
632	0.3123784318
633	0.3122732052
634	0.3122168325
635	0.3121596895
636	0.3120752254
637	0.3119514647
638	0.3118841975
639	0.3118631923
640	0.3117125379
641	0.3116332609
642	0.3116061885
643	0.311387564
644	0.3112178989
645	0.3110469752
646	0.3109714992
647	0.3108488637
648	0.3107508631
649	0.3106229934
650	0.3104266092
651	0.3104052936
652	0.3103119394
653	0.3101420865
654	0.3099761477
655	0.3099592505
656	0.3098469643
657	0.3097811153
658	0.3097222782
659	0.3096983482
660	0.309614645
661	0.309535049
