iter	Passed	Remaining
422	2193	2992
423	2198	2986
424	2202	2980
425	2207	2974
426	2211	2967
427	2213	2958
428	2218	2952
429	2222	2946
430	2226	2939
431	2231	2933
432	2235	2927
433	2240	2921
434	2244	2915
435	2249	2909
436	2252	2902
437	2257	2896
438	2262	2890
439	2265	2883
440	2268	2875
441	2271	2868
442	2274	2859
443	2276	2851
444	2279	2842
445	2281	2834
446	2283	2825
447	2286	2816
448	2288	2808
449	2290	2799
450	2292	2791
451	2295	2782
452	2297	2773
453	2299	2765
454	2301	2756
455	2303	2748
456	2305	2739
457	2307	2730
458	2309	2722
459	2311	2713
460	2314	2705
461	2316	2697
462	2318	2689
463	2320	2680
464	2323	2672
465	2325	2664
466	2327	2656
467	2329	2648
468	2332	2640
469	2334	2632
470	2336	2624
471	2338	2616
472	2340	2608
473	2342	2599
474	2345	2592
475	2347	2584
476	2349	2576
477	2351	2568
478	2353	2560
479	2356	2552
480	2358	2544
481	2359	2536
482	2361	2528
483	2364	2520
484	2366	2512
485	2367	2504
486	2370	2496
487	2372	2488
488	2374	2481
489	2376	2473
490	2378	2466
491	2381	2458
492	2383	2451
493	2385	2443
494	2387	2435
495	2389	2428
496	2392	2421
497	2394	2413
498	2396	2406
499	2398	2398
500	2401	2391
501	2403	2384
502	2405	2376
503	2407	2369
504	2409	2362
505	2411	2354
506	2413	2346
507	2415	2339
508	2418	2332
509	2420	2325
510	2422	2318
511	2423	2310
512	2426	2303
513	2428	2296
514	2430	2289
515	2432	2281
516	2433	2273
517	2436	2266
518	2438	2259
519	2439	2251
520	2441	2244
521	2442	2237
522	2445	2230
523	2447	2223
524	2449	2216
525	2451	2209
526	2454	2202
527	2456	2195
528	2458	2189
529	2460	2181
530	2462	2174
531	2464	2168
532	2466	2161
533	2467	2153
534	2470	2146
535	2472	2140
536	2474	2133
537	2476	2126
538	2478	2120
539	2481	2113
540	2483	2106
541	2485	2100
542	2487	2093
543	2490	2087
544	2493	2081
545	2494	2074
546	2497	2067
547	2499	2061
548	2501	2054
549	2503	2048
550	2504	2041
551	2507	2034
552	2509	2028
553	2511	2021
554	2513	2015
555	2516	2009
556	2518	2002
557	2520	1996
558	2523	1990
